ID,CATEGORY
267792,b
23503,b
78156,b
364116,b
197881,b
408573,b
134019,b
259270,b
42100,b
167844,b
257013,b
67921,b
27443,b
74559,b
116664,b
221425,b
131359,b
231012,b
195640,b
1968,b
327589,b
60114,b
302742,b
333824,b
25605,b
329811,b
84263,b
415588,b
151970,b
29624,b
22476,b
263469,b
77637,b
247402,b
381201,b
287746,b
385688,b
359604,b
72106,b
191420,b
176910,b
259664,b
111712,b
330338,b
169459,b
58153,b
356115,b
103750,b
41646,b
318861,b
71130,b
364655,b
70101,b
221754,b
190853,b
391341,b
386501,b
31973,b
345893,b
395491,b
133597,b
176655,b
137051,b
371116,b
89370,b
285279,b
84769,b
411959,b
262892,b
201114,b
254826,b
283647,b
233411,b
94849,b
376582,b
410076,b
246675,b
250554,b
153466,b
317332,b
147685,b
30127,b
128395,b
131869,b
141597,b
367619,b
226094,b
233597,b
227909,b
174736,b
171435,b
123440,b
187736,b
253095,b
61426,b
68130,b
155750,b
355578,b
224300,b
4344,b
231898,b
11888,b
21910,b
46046,b
306133,b
208916,b
50555,b
112169,b
332790,b
155757,b
7240,b
88219,b
380719,b
379765,b
168979,b
345650,b
155331,b
372910,b
307441,b
113379,b
254340,b
132201,b
417661,b
174885,b
97177,b
159511,b
245518,b
26693,b
342531,b
306704,b
86459,b
43854,b
113241,b
350032,b
372224,b
250837,b
312040,b
397905,b
125883,b
46772,b
191746,b
370034,b
195706,b
369397,b
7886,b
226761,b
281353,b
315027,b
144713,b
391946,b
66949,b
278781,b
420590,b
381420,b
376643,b
49766,b
289848,b
121871,b
140152,b
209530,b
119584,b
243515,b
227620,b
264824,b
225937,b
116020,b
76090,b
254991,b
10589,b
302242,b
346033,b
203614,b
236883,b
153843,b
91684,b
366353,b
38276,b
98945,b
87065,b
101700,b
13493,b
397106,b
116461,b
6888,b
241489,b
138836,b
60875,b
124748,b
304854,b
19775,b
156267,b
144420,b
417889,b
193338,b
12252,b
405072,b
219418,b
155854,b
238205,b
130276,b
60920,b
353255,b
81462,b
89829,b
7585,b
356699,b
35463,b
212819,b
